"Type","Party","Constitudency","Votes"
"National","IND","NA265",305
"National","IND","NA265",4036
"National","IND","NA265",437
"National","JI","NA265",776
"National","PMAP","NA265",31436
"National","PPP","NA265",441
"National","IND","NA265",40
"National","PML-N","NA265",518
"National","IND","NA265",486
"National","IND","NA265",21573
"National","BAP","NA265",91
"National","others","NA265",305
"National","ANP","NA265",2513
"National","IND","NA265",7508
"National","JUI-P","NA265",52429
"National","others","NA265",67
"National","others","NA265",102
"National","IND","NA265",550
"National","IND","NA265",250
"National","others","NA265",22
"National","IND","NA265",250
"National","IND","NA265",100
"National","others","NA265",134
"National","JI","NA264",427
"National","IND","NA264",55
"National","IND","NA264",31
"National","BAP","NA264",306
"National","PMAP","NA264",3565
"National","PML-N","NA264",2477
"National","JUI-S","NA264",55
"National","IND","NA264",53
"National","IND","NA264",174
"National","IND","NA264",6083
"National","IND","NA264",51
"National","IND","NA264",19
"National","IND","NA264",101
"National","IND","NA264",240
"National","JUI-P","NA264",8850
"National","IND","NA264",132
"National","IND","NA264",51
"National","others","NA264",21
"National","TLP","NA264",563
"National","others","NA264",621
"National","IND","NA264",49
"National","MQM","NA264",393
"National","BNP","NA264",9929
"National","others","NA264",76
"National","IND","NA264",46
"National","IND","NA264",285
"National","others","NA264",517
"National","IND","NA264",215
"National","others","NA264",52
"National","others","NA264",4092
"National","others","NA264",126
"National","PPP","NA264",10678
"National","ANP","NA264",118
"National","PMAP","NA264",3578
"National","IND","NA264",1698
"National","others","NA262",1060
"National","IND","NA262",17
"National","IND","NA262",64
"National","PMAP","NA262",8810
"National","IND","NA262",44
"National","IND","NA262",112
"National","IND","NA262",2278
"National","others","NA262",266
"National","IND","NA262",20273
"National","others","NA262",155
"National","IND","NA262",10
"National","JUI-S","NA262",38
"National","IND","NA262",84
"National","IND","NA262",888
"National","IND","NA262",57
"National","others","NA262",324
"National","others","NA262",4264
"National","others","NA262",59
"National","IND","NA262",74
"National","IND","NA262",305
"National","others","NA262",474
"National","IND","NA262",167
"National","IND","NA262",108
"National","IND","NA262",291
"National","PPP","NA262",4988
